TIME(MS),COMMAND,VALUE
 004050 ,6      ,1
 004050 ,7      ,1
 004050 ,8      ,1
 004150 ,6      ,0
 004150 ,7      ,0
 004150 ,8      ,0
 004500 ,6      ,1
 004500 ,7      ,1
 004500 ,8      ,1
 004600 ,6      ,0
 004600 ,7      ,0
 004600 ,8      ,0
 004750 ,1      ,1
 004850 ,1      ,0
 004850 ,4      ,1
 005000 ,2      ,1
 005000 ,4      ,0
 005150 ,2      ,0
 005150 ,3      ,1
 005300 ,3      ,0
 005300 ,5      ,1
 005450 ,2      ,1
 005450 ,5      ,0
 005550 ,2      ,0
 005550 ,3      ,1
 005700 ,1      ,1
 005700 ,3      ,0
 005800 ,1      ,0
 005800 ,4      ,1
 005950 ,3      ,1
 005950 ,4      ,0
 006100 ,3      ,0
 006300 ,6      ,1
 006300 ,7      ,1
 006300 ,8      ,1
 006400 ,6      ,0
 006400 ,7      ,0
 006400 ,8      ,0
 006750 ,6      ,1
 006750 ,7      ,1
 006750 ,8      ,1
 006850 ,6      ,0
 006850 ,7      ,0
 006850 ,8      ,0
 007000 ,1      ,1
 007100 ,1      ,0
 007100 ,4      ,1
 007250 ,2      ,1
 007250 ,4      ,0
 007400 ,2      ,0
 007400 ,3      ,1
 007550 ,3      ,0
 007550 ,5      ,1
 007700 ,2      ,1
 007700 ,5      ,0
 007800 ,2      ,0
 007800 ,3      ,1
 007950 ,1      ,1
 007950 ,3      ,0
 008050 ,1      ,0
 008050 ,4      ,1
 008200 ,3      ,1
 008200 ,4      ,0
 008350 ,3      ,0
 008400 ,6      ,1
 008400 ,7      ,1
 008400 ,8      ,1
 008500 ,6      ,0
 008500 ,7      ,0
 008500 ,8      ,0
 008850 ,6      ,1
 008850 ,7      ,1
 008850 ,8      ,1
 008950 ,6      ,0
 008950 ,7      ,0
 008950 ,8      ,0
 009100 ,1      ,1
 009200 ,1      ,0
 009200 ,4      ,1
 009350 ,2      ,1
 009350 ,4      ,0
 009500 ,2      ,0
 009500 ,3      ,1
 009650 ,3      ,0
 009650 ,5      ,1
 009800 ,2      ,1
 009800 ,5      ,0
 009900 ,2      ,0
 009900 ,3      ,1
 010050 ,1      ,1
 010050 ,3      ,0
 010150 ,1      ,0
 010150 ,4      ,1
 010300 ,3      ,1
 010300 ,4      ,0
 010450 ,3      ,0
 010550 ,6      ,1
 010550 ,7      ,1
 010550 ,8      ,1
 010650 ,6      ,0
 010650 ,7      ,0
 010650 ,8      ,0
 011000 ,6      ,1
 011000 ,7      ,1
 011000 ,8      ,1
 011100 ,6      ,0
 011100 ,7      ,0
 011100 ,8      ,0
 011250 ,1      ,1
 011350 ,1      ,0
 011350 ,4      ,1
 011500 ,2      ,1
 011500 ,4      ,0
 011650 ,2      ,0
 011650 ,3      ,1
 011800 ,3      ,0
 011800 ,5      ,1
 011950 ,2      ,1
 011950 ,5      ,0
 012050 ,2      ,0
 012050 ,3      ,1
 012200 ,1      ,1
 012200 ,3      ,0
 012300 ,1      ,0
 012300 ,4      ,1
 012450 ,3      ,1
 012450 ,4      ,0
 012600 ,3      ,0
 012700 ,3      ,1
 012700 ,6      ,1
 012700 ,7      ,1
 012700 ,8      ,1
 012800 ,6      ,0
 012800 ,7      ,0
 012800 ,8      ,0
 013150 ,6      ,1
 013150 ,7      ,1
 013150 ,8      ,1
 013250 ,6      ,0
 013250 ,7      ,0
 013250 ,8      ,0
 013400 ,6      ,1
 013500 ,6      ,0
 013500 ,7      ,1
 013650 ,6      ,1
 013650 ,7      ,0
 013800 ,3      ,0
 013800 ,5      ,1
 013800 ,6      ,0
 013800 ,8      ,1
 013950 ,7      ,1
 013950 ,8      ,0
 014100 ,6      ,1
 014100 ,7      ,0
 014200 ,6      ,0
 014200 ,8      ,1
 014350 ,3      ,1
 014350 ,5      ,0
 014350 ,7      ,1
 014350 ,8      ,0
 014450 ,7      ,0
 014450 ,8      ,1
 014600 ,7      ,1
 014600 ,8      ,0
 014750 ,7      ,0
 014850 ,1      ,1
 014850 ,3      ,0
 014850 ,6      ,1
 014850 ,7      ,1
 014850 ,8      ,1
 014950 ,6      ,0
 014950 ,7      ,0
 014950 ,8      ,0
 015300 ,6      ,1
 015300 ,7      ,1
 015300 ,8      ,1
 015400 ,6      ,0
 015400 ,7      ,0
 015400 ,8      ,0
 015550 ,6      ,1
 015650 ,6      ,0
 015650 ,7      ,1
 015800 ,6      ,1
 015800 ,7      ,0
 015950 ,1      ,0
 015950 ,3      ,1
 015950 ,6      ,0
 015950 ,8      ,1
 016100 ,7      ,1
 016100 ,8      ,0
 016250 ,6      ,1
 016250 ,7      ,0
 016350 ,6      ,0
 016350 ,8      ,1
 016400 ,3      ,0
 016500 ,7      ,1
 016500 ,8      ,0
 016600 ,7      ,0
 016600 ,8      ,1
 016750 ,7      ,1
 016750 ,8      ,0
 016950 ,7      ,0
 017000 ,2      ,1
 017000 ,6      ,1
 017000 ,7      ,1
 017000 ,8      ,1
 017100 ,6      ,0
 017100 ,7      ,0
 017100 ,8      ,0
 017450 ,2      ,0
 017450 ,4      ,1
 017450 ,6      ,1
 017450 ,7      ,1
 017450 ,8      ,1
 017550 ,6      ,0
 017550 ,7      ,0
 017550 ,8      ,0
 017700 ,6      ,1
 017800 ,6      ,0
 017800 ,7      ,1
 017950 ,6      ,1
 017950 ,7      ,0
 018100 ,6      ,0
 018100 ,8      ,1
 018250 ,2      ,1
 018250 ,4      ,0
 018250 ,7      ,1
 018250 ,8      ,0
 018400 ,6      ,1
 018400 ,7      ,0
 018500 ,6      ,0
 018500 ,8      ,1
 018650 ,1      ,1
 018650 ,2      ,0
 018650 ,7      ,1
 018650 ,8      ,0
 018750 ,7      ,0
 018750 ,8      ,1
 018900 ,7      ,1
 018900 ,8      ,0
 019050 ,7      ,0
 019150 ,1      ,0
 019150 ,2      ,1
 019150 ,6      ,1
 019150 ,7      ,1
 019150 ,8      ,1
 019250 ,6      ,0
 019250 ,7      ,0
 019250 ,8      ,0
 019600 ,6      ,1
 019600 ,7      ,1
 019600 ,8      ,1
 019700 ,6      ,0
 019700 ,7      ,0
 019700 ,8      ,0
 019850 ,6      ,1
 020000 ,6      ,0
 020000 ,7      ,1
 020100 ,7      ,0
 020100 ,8      ,1
 020150 ,7      ,1
 020200 ,6      ,1
 020250 ,8      ,0
 020300 ,2      ,0
 020300 ,3      ,1
 020300 ,6      ,0
 020300 ,7      ,0
 020300 ,8      ,1
 020400 ,7      ,1
 020400 ,8      ,0
 020700 ,3      ,0
 020700 ,7      ,0
 020700 ,8      ,1
 020800 ,7      ,1
 020800 ,8      ,0
 020850 ,3      ,1
 020900 ,7      ,0
 020900 ,8      ,1
 021050 ,7      ,1
 021050 ,8      ,0
 021200 ,3      ,0
 021200 ,7      ,0
 021350 ,3      ,1
 021350 ,6      ,1
 021350 ,7      ,1
 021350 ,8      ,1
 021450 ,6      ,0
 021450 ,7      ,0
 021450 ,8      ,0
 021800 ,6      ,1
 021800 ,7      ,1
 021800 ,8      ,1
 021900 ,6      ,0
 021900 ,7      ,0
 021900 ,8      ,0
 022050 ,6      ,1
 022150 ,6      ,0
 022150 ,7      ,1
 022300 ,3      ,0
 022300 ,6      ,1
 022300 ,7      ,0
 022450 ,3      ,1
 022450 ,6      ,0
 022450 ,8      ,1
 022600 ,7      ,1
 022600 ,8      ,0
 022750 ,6      ,1
 022750 ,7      ,0
 022850 ,6      ,0
 022850 ,8      ,1
 023000 ,3      ,0
 023000 ,4      ,1
 023000 ,7      ,1
 023000 ,8      ,0
 023100 ,7      ,0
 023100 ,8      ,1
 023250 ,7      ,1
 023250 ,8      ,0
 023400 ,4      ,0
 023400 ,7      ,0
 023500 ,5      ,1
 023500 ,6      ,1
 023500 ,7      ,1
 023500 ,8      ,1
 023600 ,6      ,0
 023600 ,7      ,0
 023600 ,8      ,0
 023950 ,6      ,1
 023950 ,7      ,1
 023950 ,8      ,1
 024050 ,6      ,0
 024050 ,7      ,0
 024050 ,8      ,0
 024100 ,4      ,1
 024100 ,5      ,0
 024200 ,6      ,1
 024300 ,6      ,0
 024300 ,7      ,1
 024450 ,6      ,1
 024450 ,7      ,0
 024600 ,6      ,0
 024600 ,8      ,1
 024650 ,3      ,1
 024650 ,4      ,0
 024750 ,7      ,1
 024750 ,8      ,0
 024900 ,6      ,1
 024900 ,7      ,0
 025000 ,6      ,0
 025000 ,8      ,1
 025150 ,7      ,1
 025150 ,8      ,0
 025200 ,2      ,1
 025200 ,3      ,0
 025250 ,7      ,0
 025250 ,8      ,1
 025400 ,7      ,1
 025400 ,8      ,0
 025500 ,2      ,0
 025600 ,7      ,0
 025650 ,1      ,1
 025650 ,3      ,1
 025650 ,6      ,1
 025650 ,7      ,1
 025650 ,8      ,1
 025750 ,6      ,0
 025750 ,7      ,0
 025750 ,8      ,0
 026100 ,6      ,1
 026100 ,7      ,1
 026100 ,8      ,1
 026200 ,6      ,0
 026200 ,7      ,0
 026200 ,8      ,0
 026350 ,6      ,1
 026450 ,6      ,0
 026450 ,7      ,1
 026600 ,6      ,1
 026600 ,7      ,0
 026750 ,1      ,0
 026750 ,2      ,1
 026750 ,3      ,0
 026750 ,4      ,1
 026750 ,6      ,0
 026750 ,8      ,1
 026900 ,7      ,1
 026900 ,8      ,0
 027050 ,6      ,1
 027050 ,7      ,0
 027150 ,6      ,0
 027150 ,8      ,1
 027300 ,7      ,1
 027300 ,8      ,0
 027400 ,7      ,0
 027400 ,8      ,1
 027450 ,2      ,0
 027450 ,3      ,1
 027450 ,4      ,0
 027450 ,5      ,1
 027550 ,7      ,1
 027550 ,8      ,0
 027750 ,3      ,0
 027750 ,5      ,0
 027750 ,7      ,0
 027850 ,3      ,1
 027850 ,5      ,1
 027850 ,6      ,1
 027850 ,7      ,1
 027850 ,8      ,1
 027950 ,6      ,0
 027950 ,7      ,0
 027950 ,8      ,0
 028300 ,6      ,1
 028300 ,7      ,1
 028300 ,8      ,1
 028400 ,6      ,0
 028400 ,7      ,0
 028400 ,8      ,0
 028550 ,6      ,1
 028650 ,6      ,0
 028650 ,7      ,1
 028700 ,3      ,0
 028700 ,5      ,0
 028800 ,6      ,1
 028800 ,7      ,0
 028950 ,6      ,0
 028950 ,8      ,1
 029100 ,7      ,1
 029100 ,8      ,0
 029250 ,6      ,1
