TIME(MS),COMMAND,VALUE
 006300 ,1      ,1
 006700 ,6      ,1
 008100 ,2      ,1
 008600 ,7      ,1
 009750 ,3      ,1
 009950 ,4      ,1
 010200 ,5      ,1
 010550 ,8      ,1
 011600 ,2      ,0
 011600 ,4      ,0
 011600 ,6      ,0
 012350 ,5      ,0
 012350 ,8      ,0
 012900 ,3      ,0
 012900 ,7      ,0
 013600 ,1      ,0
 013850 ,5      ,1
 014050 ,3      ,1
 014250 ,1      ,1
 014500 ,2      ,1
 015000 ,4      ,1
 015650 ,1      ,0
 015650 ,2      ,0
 015650 ,3      ,0
 015650 ,4      ,0
 015850 ,3      ,1
 016100 ,1      ,1
 016350 ,2      ,1
 016750 ,4      ,1
 017450 ,1      ,0
 017450 ,2      ,0
 017450 ,3      ,0
 017450 ,4      ,0
 017650 ,3      ,1
 017900 ,1      ,1
 018150 ,2      ,1
 018550 ,4      ,1
 019050 ,1      ,0
 019050 ,2      ,0
 019050 ,3      ,0
 019050 ,4      ,0
 019300 ,1      ,1
 019300 ,5      ,0
 019500 ,1      ,0
 019500 ,5      ,1
 019700 ,5      ,0
 019750 ,5      ,1
 020000 ,1      ,1
 020200 ,2      ,1
 020400 ,3      ,1
 020650 ,4      ,1
 020850 ,6      ,1
 021100 ,1      ,0
 021100 ,2      ,0
 021100 ,3      ,0
 021100 ,4      ,0
 021100 ,6      ,0
 021300 ,3      ,1
 021500 ,1      ,1
 021750 ,2      ,1
 022250 ,4      ,1
 022900 ,1      ,0
 022900 ,2      ,0
 022900 ,3      ,0
 022900 ,4      ,0
 023100 ,3      ,1
 023350 ,1      ,1
 023600 ,2      ,1
 024100 ,4      ,1
 024700 ,1      ,0
 024700 ,2      ,0
 024700 ,3      ,0
 024700 ,4      ,0
 025000 ,3      ,1
 025200 ,1      ,1
 025450 ,2      ,1
 025950 ,4      ,1
 026400 ,1      ,0
 026400 ,2      ,0
 026400 ,3      ,0
 026400 ,4      ,0
 026650 ,1      ,1
 026650 ,5      ,0
 026850 ,1      ,0
 026850 ,5      ,1
 027050 ,5      ,0
 027100 ,5      ,1
 027350 ,1      ,1
 027550 ,2      ,1
 027750 ,3      ,1
 028000 ,4      ,1
 028350 ,6      ,1
 028500 ,1      ,0
 028500 ,2      ,0
 028500 ,3      ,0
 028500 ,4      ,0
 028550 ,6      ,0
 028550 ,7      ,1
 028700 ,3      ,1
 028900 ,1      ,1
 028950 ,7      ,0
 028950 ,8      ,1
 029150 ,2      ,1
 029600 ,8      ,0
 029650 ,4      ,1
 030050 ,6      ,1
 030250 ,6      ,0
 030250 ,7      ,1
 030300 ,1      ,0
 030300 ,2      ,0
 030300 ,3      ,0
 030300 ,4      ,0
 030500 ,3      ,1
 030500 ,7      ,0
 030500 ,8      ,1
 030700 ,6      ,1
 030750 ,1      ,1
 031000 ,2      ,1
 031250 ,6      ,0
 031250 ,8      ,0
 031400 ,4      ,1
 032000 ,6      ,1
 032100 ,1      ,0
 032100 ,2      ,0
 032100 ,3      ,0
 032100 ,4      ,0
 032300 ,3      ,1
 032350 ,6      ,0
 032350 ,7      ,1
 032550 ,1      ,1
 032550 ,7      ,0
 032550 ,8      ,1
 032800 ,2      ,1
 033200 ,4      ,1
 033500 ,7      ,1
 033500 ,8      ,0
 033700 ,1      ,0
 033700 ,2      ,0
 033700 ,3      ,0
 033700 ,4      ,0
 033700 ,6      ,1
 033700 ,7      ,0
 033950 ,1      ,1
 033950 ,5      ,0
 034000 ,6      ,0
 034150 ,1      ,0
 034150 ,5      ,1
 034350 ,5      ,0
 034400 ,5      ,1
 034650 ,1      ,1
 034850 ,2      ,1
 035050 ,3      ,1
 035300 ,4      ,1
 035750 ,1      ,0
 035750 ,2      ,0
 035750 ,3      ,0
 035750 ,4      ,0
 035750 ,6      ,1
 035950 ,3      ,1
 036000 ,6      ,0
 036000 ,7      ,1
 036150 ,1      ,1
 036200 ,7      ,0
 036200 ,8      ,1
 036400 ,2      ,1
 036900 ,4      ,1
 037300 ,7      ,1
 037300 ,8      ,0
 037550 ,1      ,0
 037550 ,2      ,0
 037550 ,3      ,0
 037550 ,4      ,0
 037600 ,6      ,1
 037600 ,7      ,0
 037750 ,3      ,1
 037800 ,6      ,0
 037800 ,7      ,1
 038000 ,1      ,1
 038050 ,7      ,0
 038050 ,8      ,1
 038250 ,2      ,1
 038750 ,4      ,1
 038950 ,8      ,0
 039200 ,6      ,1
 039350 ,1      ,0
 039350 ,2      ,0
 039350 ,3      ,0
 039350 ,4      ,0
 039400 ,6      ,0
 039400 ,7      ,1
 039650 ,3      ,1
 039650 ,7      ,0
 039650 ,8      ,1
 039850 ,1      ,1
 039900 ,7      ,1
 039900 ,8      ,0
 040100 ,2      ,1
 040550 ,7      ,0
 040600 ,4      ,1
 040650 ,6      ,1
 040650 ,8      ,1
 041050 ,1      ,0
 041050 ,2      ,0
 041050 ,3      ,0
 041050 ,4      ,0
 041050 ,6      ,0
 041050 ,7      ,1
 041300 ,1      ,1
 041300 ,5      ,0
 041500 ,1      ,0
 041500 ,5      ,1
 041550 ,7      ,0
 041550 ,8      ,0
 041700 ,5      ,0
 041750 ,5      ,1
 042000 ,1      ,1
 042200 ,2      ,1
 042400 ,3      ,1
 042650 ,4      ,1
 042900 ,6      ,1
 043050 ,6      ,0
 043050 ,7      ,1
 043150 ,1      ,0
 043150 ,2      ,0
 043150 ,3      ,0
 043150 ,4      ,0
 043250 ,7      ,0
 043250 ,8      ,1
 043350 ,4      ,1
 043500 ,6      ,1
 043500 ,8      ,0
 043550 ,3      ,1
 043800 ,2      ,1
 043950 ,6      ,0
 044300 ,1      ,1
 044700 ,7      ,1
 044950 ,1      ,0
 044950 ,2      ,0
 044950 ,3      ,0
 044950 ,4      ,0
 044950 ,6      ,1
 044950 ,7      ,0
 045150 ,4      ,1
 045150 ,6      ,0
 045150 ,8      ,1
 045400 ,3      ,1
 045450 ,6      ,1
 045450 ,8      ,0
 045650 ,2      ,1
 046050 ,1      ,1
 046050 ,6      ,0
 046750 ,1      ,0
 046750 ,2      ,0
 046750 ,3      ,0
 046750 ,4      ,0
 046750 ,7      ,1
 046950 ,4      ,1
 047000 ,7      ,0
 047000 ,8      ,1
 047200 ,3      ,1
 047250 ,7      ,1
 047250 ,8      ,0
 047450 ,2      ,1
 047950 ,1      ,1
 048200 ,6      ,1
 048200 ,7      ,0
 048350 ,1      ,0
 048350 ,2      ,0
 048350 ,3      ,0
 048350 ,4      ,0
 048450 ,6      ,0
 048450 ,7      ,1
 048450 ,8      ,1
 048600 ,1      ,1
 048600 ,5      ,0
 048800 ,1      ,0
 048800 ,5      ,1
 048800 ,7      ,0
 048800 ,8      ,0
 049000 ,5      ,0
 049050 ,5      ,1
 049300 ,1      ,1
 049500 ,2      ,1
 049700 ,3      ,1
 049950 ,4      ,1
 050200 ,6      ,1
 050400 ,1      ,0
 050400 ,2      ,0
 050400 ,3      ,0
 050400 ,4      ,0
 050450 ,6      ,0
 050450 ,7      ,1
 050700 ,3      ,1
 050700 ,7      ,0
 050700 ,8      ,1
 050900 ,1      ,1
 050950 ,7      ,1
 051050 ,1      ,0
 051050 ,3      ,0
 051050 ,5      ,0
 051150 ,1      ,1
 051150 ,3      ,1
 051150 ,5      ,1
 051650 ,1      ,0
 051650 ,2      ,1
 051650 ,3      ,0
 051650 ,4      ,1
 051650 ,5      ,0
 052050 ,7      ,0
 052050 ,8      ,0
 052100 ,6      ,1
 052300 ,2      ,0
 052300 ,4      ,0
 052300 ,5      ,1
 052350 ,6      ,0
 052350 ,7      ,1
 052500 ,3      ,1
 052550 ,7      ,0
 052550 ,8      ,1
 052750 ,1      ,1
 052800 ,6      ,1
 052800 ,8      ,0
 052900 ,1      ,0
 052900 ,3      ,0
 052900 ,5      ,0
 053000 ,1      ,1
 053000 ,3      ,1
 053000 ,5      ,1
 053150 ,6      ,0
 053500 ,1      ,0
 053500 ,2      ,1
 053500 ,3      ,0
 053500 ,4      ,1
 053500 ,5      ,0
 053850 ,6      ,1
 054150 ,2      ,0
 054150 ,4      ,0
 054150 ,5      ,1
 054150 ,6      ,0
 054150 ,7      ,1
 054400 ,3      ,1
 054400 ,7      ,0
 054400 ,8      ,1
 054600 ,1      ,1
 054650 ,7      ,1
 054650 ,8      ,0
 054850 ,2      ,1
 055350 ,4      ,1
 055350 ,6      ,1
 055350 ,7      ,0
 055550 ,6      ,0
 055550 ,7      ,1
 055750 ,8      ,1
 055850 ,1      ,0
 055850 ,2      ,0
 055850 ,3      ,0
 055850 ,4      ,0
 056200 ,1      ,1
 056200 ,5      ,0
 056200 ,7      ,0
 056200 ,8      ,0
 056450 ,1      ,0
 056450 ,5      ,1
 056700 ,1      ,1
 056950 ,2      ,1
 057200 ,3      ,1
 057450 ,4      ,1
 057800 ,1      ,0
 057800 ,2      ,0
 057800 ,4      ,0
 057800 ,5      ,0
 057900 ,6      ,1
 058050 ,3      ,0
 058150 ,3      ,1
 058650 ,3      ,0
 058750 ,2      ,1
 058750 ,3      ,1
 058750 ,4      ,1
 058850 ,2      ,0
 058850 ,3      ,0
 058850 ,4      ,0
 058950 ,2      ,1
 058950 ,3      ,1
 058950 ,4      ,1
 059050 ,2      ,0
 059050 ,3      ,0
 059050 ,4      ,0
 059200 ,3      ,1
 059350 ,3      ,0
 059400 ,3      ,1
 059450 ,3      ,0
 059550 ,3      ,1
 060100 ,2      ,1
 060100 ,3      ,0
 060100 ,4      ,1
 060300 ,2      ,0
 060300 ,3      ,1
 060300 ,4      ,0
 061000 ,3      ,0
 061450 ,3      ,1
 061450 ,6      ,0
 061450 ,7      ,1
 061600 ,3      ,0
 061700 ,3      ,1
 061850 ,3      ,0
 061950 ,2      ,1
 061950 ,3      ,1
 061950 ,4      ,1
 062050 ,2      ,0
 062050 ,3      ,0
 062050 ,4      ,0
 062150 ,2      ,1
 062150 ,3      ,1
 062150 ,4      ,1
 062250 ,2      ,0
 062250 ,3      ,0
 062250 ,4      ,0
 062350 ,3      ,1
 062600 ,3      ,0
 062750 ,3      ,1
 063150 ,3      ,0
 063300 ,1      ,1
 063300 ,5      ,1
 063300 ,6      ,1
 063300 ,7      ,0
 063750 ,1      ,0
 063750 ,2      ,1
 063750 ,4      ,1
 063750 ,5      ,0
 063750 ,6      ,0
 063750 ,7      ,1
 064050 ,2      ,0
 064050 ,3      ,1
 064050 ,4      ,0
 064050 ,6      ,1
 064050 ,7      ,0
 064150 ,3      ,0
 064150 ,6      ,0
 064200 ,3      ,1
