TIME(MS),COMMAND,VALUE
 000650 ,2      ,1
 000650 ,3      ,1
 000650 ,6      ,1
 000650 ,7      ,1
 000700 ,1      ,1
 000700 ,4      ,1
 000700 ,5      ,1
 000700 ,8      ,1
 000750 ,1      ,0
 000750 ,2      ,0
 000750 ,3      ,0
 000750 ,5      ,0
 000750 ,6      ,0
 000750 ,7      ,0
 000750 ,8      ,0
 000800 ,4      ,0
 000800 ,6      ,1
 000850 ,1      ,1
 000850 ,2      ,1
 000850 ,5      ,1
 000850 ,6      ,0
 000850 ,8      ,1
 000900 ,3      ,1
 000900 ,4      ,1
 000900 ,7      ,1
 000950 ,2      ,0
 000950 ,8      ,0
 001000 ,1      ,0
 001000 ,2      ,1
 001000 ,4      ,0
 001000 ,5      ,0
 001000 ,7      ,0
 001050 ,1      ,1
 001050 ,4      ,1
 001050 ,5      ,1
 001050 ,7      ,1
 001050 ,8      ,1
 001100 ,4      ,0
 001100 ,6      ,1
 001100 ,7      ,0
 001150 ,4      ,1
 001150 ,7      ,1
 001200 ,4      ,0
 001200 ,6      ,0
 001250 ,1      ,0
 001250 ,2      ,0
 001300 ,4      ,1
 001300 ,5      ,0
 001300 ,7      ,0
 001300 ,8      ,0
 001350 ,1      ,1
 001350 ,2      ,1
 001350 ,5      ,1
 001350 ,6      ,1
 001350 ,7      ,1
 001350 ,8      ,1
 001400 ,1      ,0
 001400 ,3      ,0
 001400 ,4      ,0
 001400 ,5      ,0
 001400 ,7      ,0
 001400 ,8      ,0
 001450 ,1      ,1
 001450 ,3      ,1
 001450 ,4      ,1
 001450 ,5      ,1
 001500 ,1      ,0
 001500 ,2      ,0
 001500 ,3      ,0
 001500 ,6      ,0
 001500 ,8      ,1
 001550 ,1      ,1
 001550 ,4      ,0
 001550 ,5      ,0
 001550 ,8      ,0
 001600 ,1      ,0
 001600 ,2      ,1
 001600 ,7      ,1
 001650 ,1      ,1
 001650 ,4      ,1
 001650 ,5      ,1
 001650 ,6      ,1
 001650 ,7      ,0
 001650 ,8      ,1
 001700 ,3      ,1
 001700 ,5      ,0
 001750 ,1      ,0
 001750 ,3      ,0
 001750 ,6      ,0
 001750 ,8      ,0
 001800 ,2      ,0
 001800 ,4      ,0
 001800 ,6      ,1
 001850 ,3      ,1
 001850 ,5      ,1
 001850 ,6      ,0
 001900 ,4      ,1
 001950 ,1      ,1
 001950 ,2      ,1
 001950 ,8      ,1
 002000 ,5      ,0
 002000 ,6      ,1
 002000 ,7      ,1
 002050 ,1      ,0
 002050 ,2      ,0
 002050 ,3      ,0
 002050 ,6      ,0
 002050 ,7      ,0
 002050 ,8      ,0
 002100 ,1      ,1
 002100 ,2      ,1
