TIME(MS),COMMAND,VALUE
 022400 ,4      ,0
 022400 ,5      ,1
 022400 ,7      ,0
 022400 ,8      ,1
 022650 ,7      ,1
 022800 ,6      ,1
 022950 ,6      ,0
 022950 ,7      ,0
 022950 ,8      ,0
 023100 ,7      ,1
 023150 ,1      ,0
 023150 ,5      ,0
 023250 ,1      ,1
 023250 ,5      ,1
 023250 ,6      ,1
 023250 ,7      ,0
 023250 ,8      ,1
 023500 ,6      ,0
 023500 ,7      ,1
 023500 ,8      ,0
 023650 ,1      ,0
 023650 ,2      ,1
 023650 ,4      ,1
 023650 ,5      ,0
 023650 ,6      ,1
 023650 ,7      ,0
 024000 ,7      ,1
 024050 ,2      ,0
 024050 ,3      ,1
 024050 ,4      ,0
 024050 ,6      ,0
 024350 ,7      ,0
 024350 ,8      ,1
 024550 ,6      ,1
 024550 ,7      ,1
 024600 ,3      ,0
 024700 ,6      ,0
 024700 ,7      ,0
 024700 ,8      ,0
 024800 ,6      ,1
 024800 ,7      ,1
 024800 ,8      ,1
 024900 ,6      ,0
 024900 ,7      ,0
 024900 ,8      ,0
 024950 ,1      ,1
 024950 ,6      ,1
 024950 ,7      ,1
 025250 ,1      ,0
 025250 ,7      ,0
 025350 ,1      ,1
 025400 ,8      ,1
 025650 ,6      ,0
 025650 ,7      ,1
 025800 ,6      ,1
 025800 ,7      ,0
 025850 ,1      ,0
 025850 ,2      ,1
 026100 ,8      ,0
 026250 ,2      ,0
 026250 ,3      ,1
 026250 ,6      ,0
 026250 ,7      ,1
 026250 ,8      ,1
 026650 ,1      ,1
 026650 ,5      ,1
 026650 ,6      ,1
 026650 ,7      ,0
 026650 ,8      ,0
 026950 ,7      ,1
 027100 ,1      ,0
 027100 ,2      ,1
 027100 ,3      ,0
 027100 ,4      ,1
 027100 ,5      ,0
 027100 ,6      ,0
 027100 ,7      ,0
 027100 ,8      ,1
 027350 ,7      ,1
 027500 ,1      ,1
 027500 ,2      ,0
 027500 ,3      ,1
 027500 ,4      ,0
 027500 ,5      ,1
 027500 ,6      ,1
 027500 ,7      ,0
 027500 ,8      ,0
 027750 ,8      ,1
 027900 ,1      ,0
 027900 ,2      ,1
 027900 ,3      ,0
 027900 ,4      ,1
 027900 ,5      ,0
 027950 ,6      ,0
 027950 ,7      ,1
 027950 ,8      ,0
 028000 ,7      ,0
 028050 ,7      ,1
 028250 ,8      ,1
 028350 ,2      ,0
 028350 ,3      ,1
 028350 ,4      ,0
 028350 ,6      ,1
 028350 ,7      ,0
 028350 ,8      ,0
 028750 ,2      ,1
 028750 ,3      ,0
 028750 ,4      ,1
 028750 ,6      ,0
 028800 ,7      ,1
 029250 ,1      ,1
 029250 ,2      ,0
 029250 ,4      ,0
 029250 ,5      ,1
 029250 ,7      ,0
 029250 ,8      ,1
 029500 ,7      ,1
 029500 ,8      ,0
 029650 ,6      ,1
 029650 ,7      ,0
 029650 ,8      ,1
 029950 ,7      ,1
 030000 ,1      ,0
 030000 ,5      ,0
 030000 ,6      ,0
 030000 ,8      ,0
 030100 ,1      ,1
 030100 ,5      ,1
 030100 ,6      ,1
 030100 ,7      ,0
 030100 ,8      ,1
 030250 ,6      ,0
 030250 ,8      ,0
 030350 ,6      ,1
 030350 ,7      ,1
 030500 ,1      ,0
 030500 ,2      ,1
 030500 ,4      ,1
 030500 ,5      ,0
 030500 ,6      ,0
 030500 ,8      ,1
 030750 ,6      ,1
 030900 ,2      ,0
 030900 ,3      ,1
 030900 ,4      ,0
 030900 ,6      ,0
 030900 ,7      ,0
 030900 ,8      ,0
 030950 ,6      ,1
 030950 ,8      ,1
 031350 ,7      ,1
 031450 ,3      ,0
 031450 ,6      ,0
 031450 ,8      ,0
 031600 ,6      ,1
 031600 ,7      ,0
 031800 ,1      ,1
 031800 ,6      ,0
 031800 ,7      ,1
 031800 ,8      ,1
 032050 ,6      ,1
 032050 ,7      ,0
 032050 ,8      ,0
 032100 ,1      ,0
 032200 ,1      ,1
 032200 ,6      ,0
 032200 ,7      ,1
 032200 ,8      ,1
 032450 ,7      ,0
 032600 ,6      ,1
 032700 ,1      ,0
 032700 ,2      ,1
 032900 ,6      ,0
 032900 ,8      ,0
 033050 ,6      ,1
 033050 ,8      ,1
 033100 ,2      ,0
 033100 ,3      ,1
 033500 ,3      ,0
 033500 ,5      ,1
 033500 ,6      ,0
 033550 ,4      ,1
 033550 ,7      ,1
 033600 ,3      ,1
 033600 ,6      ,1
 033650 ,2      ,1
 033650 ,5      ,0
 033700 ,1      ,1
 033700 ,4      ,0
 033750 ,3      ,0
 033750 ,6      ,0
 033750 ,7      ,0
 033750 ,8      ,0
 033800 ,2      ,0
 033850 ,1      ,0
 033950 ,1      ,1
 033950 ,6      ,1
 034000 ,2      ,1
 034000 ,7      ,1
 034050 ,3      ,1
 034050 ,8      ,1
 034100 ,4      ,1
 034150 ,5      ,1
 034150 ,6      ,0
 034150 ,7      ,0
 034150 ,8      ,0
 034350 ,5      ,0
 034350 ,6      ,1
 034350 ,7      ,1
 034350 ,8      ,1
 034400 ,4      ,0
 034450 ,3      ,0
 034500 ,2      ,0
 034500 ,5      ,1
 034550 ,1      ,0
 034550 ,4      ,1
 034600 ,3      ,1
 034600 ,6      ,0
 034600 ,7      ,0
 034600 ,8      ,0
 034650 ,2      ,1
 034700 ,1      ,1
 034750 ,4      ,0
 034750 ,6      ,1
 034750 ,7      ,1
 034800 ,2      ,0
 034900 ,4      ,1
 034900 ,5      ,0
 034950 ,1      ,0
 034950 ,2      ,1
 034950 ,3      ,0
 035000 ,1      ,1
 035000 ,5      ,1
 035050 ,1      ,0
 035050 ,3      ,1
 035050 ,6      ,0
 035050 ,8      ,1
 035100 ,1      ,1
 035100 ,2      ,0
 035100 ,5      ,0
 035100 ,7      ,0
 035150 ,1      ,0
 035150 ,7      ,1
 035150 ,8      ,0
 035200 ,2      ,1
 035200 ,4      ,0
 035200 ,6      ,1
 035200 ,7      ,0
