TIME(MS),COMMAND,VALUE
 002000 ,5      ,1
 002050 ,4      ,1
 002050 ,6      ,1
 002050 ,7      ,1
 002050 ,8      ,1
 002100 ,3      ,1
 002150 ,2      ,1
 002200 ,1      ,1
 002850 ,1      ,0
 002850 ,2      ,0
 002850 ,3      ,0
 002850 ,4      ,0
 002850 ,5      ,0
 002850 ,6      ,0
 002850 ,7      ,0
 002850 ,8      ,0
 002900 ,1      ,1
 002900 ,2      ,1
 002900 ,7      ,1
 003550 ,1      ,0
 003550 ,2      ,0
 003550 ,4      ,1
 003550 ,5      ,1
 003550 ,7      ,0
 003550 ,8      ,1
 003650 ,2      ,1
 003650 ,3      ,1
 003650 ,6      ,1
 003650 ,8      ,0
 003850 ,1      ,1
 003850 ,6      ,0
 003850 ,7      ,1
 004150 ,2      ,0
 004150 ,3      ,0
 004150 ,4      ,0
 004150 ,5      ,0
 004350 ,1      ,0
 004350 ,7      ,0
 004450 ,1      ,1
 004450 ,2      ,1
 004450 ,3      ,1
 004450 ,4      ,1
 004450 ,5      ,1
 004450 ,6      ,1
 004450 ,7      ,1
 004450 ,8      ,1
 004650 ,1      ,0
 004650 ,2      ,0
 004650 ,3      ,0
 004650 ,4      ,0
 004650 ,5      ,0
 004650 ,6      ,0
 004650 ,7      ,0
 004650 ,8      ,0
 005300 ,1      ,1
 005300 ,2      ,1
 005300 ,3      ,1
 005300 ,4      ,1
 005300 ,5      ,1
 005550 ,1      ,0
 005550 ,2      ,0
 005550 ,3      ,0
 005550 ,4      ,0
 005550 ,5      ,0
 005700 ,1      ,1
 005700 ,2      ,1
 005700 ,3      ,1
 005700 ,4      ,1
 005700 ,5      ,1
 005700 ,6      ,1
 005700 ,7      ,1
 005700 ,8      ,1
 005850 ,1      ,0
 005850 ,2      ,0
 005850 ,3      ,0
 005850 ,4      ,0
 005850 ,5      ,0
 005850 ,6      ,0
 005850 ,7      ,0
 005850 ,8      ,0
 006100 ,1      ,1
 006100 ,2      ,1
 006100 ,3      ,1
 006100 ,4      ,1
 006100 ,5      ,1
 006100 ,6      ,1
 006100 ,7      ,1
 006100 ,8      ,1
 006550 ,1      ,0
 006550 ,2      ,0
 006550 ,3      ,0
 006550 ,4      ,0
 006550 ,5      ,0
 006550 ,6      ,0
 006550 ,7      ,0
 006550 ,8      ,0
 006600 ,1      ,1
 006650 ,2      ,1
 006700 ,3      ,1
 006750 ,4      ,1
 006800 ,5      ,1
 006850 ,1      ,0
 006850 ,2      ,0
 006850 ,3      ,0
 006850 ,4      ,0
 006850 ,5      ,0
 006900 ,1      ,1
 006900 ,2      ,1
 006900 ,3      ,1
 006900 ,4      ,1
 006900 ,5      ,1
 006900 ,6      ,1
 006900 ,7      ,1
 006900 ,8      ,1
 007700 ,1      ,0
 007700 ,2      ,0
 007700 ,3      ,0
 007700 ,4      ,0
 007700 ,5      ,0
 007700 ,6      ,0
 007700 ,7      ,0
 007700 ,8      ,0
 008500 ,6      ,1
 008500 ,7      ,1
 008500 ,8      ,1
 008900 ,1      ,1
 008900 ,3      ,1
 009100 ,1      ,0
 009100 ,3      ,0
 009100 ,6      ,0
 009100 ,7      ,0
 009100 ,8      ,0
 009300 ,1      ,1
 009300 ,3      ,1
 009300 ,6      ,1
 009850 ,1      ,0
 009850 ,3      ,0
 009850 ,6      ,0
 009950 ,1      ,1
 009950 ,3      ,1
 009950 ,7      ,1
 010050 ,1      ,0
 010050 ,3      ,0
 010050 ,7      ,0
 010100 ,1      ,1
 010100 ,3      ,1
 010100 ,6      ,1
 010300 ,1      ,0
 010300 ,2      ,1
 010300 ,3      ,0
 010300 ,4      ,1
 010300 ,6      ,0
 010300 ,8      ,1
 010600 ,2      ,0
 010600 ,4      ,0
 010600 ,8      ,0
 010700 ,2      ,1
 010700 ,4      ,1
 010700 ,6      ,1
 011350 ,2      ,0
 011350 ,3      ,1
 011350 ,4      ,0
 011350 ,5      ,1
 011350 ,6      ,0
 011350 ,7      ,1
 011700 ,1      ,1
 011700 ,5      ,0
 011700 ,6      ,1
 011700 ,7      ,0
 012100 ,3      ,0
 012100 ,6      ,0
 012100 ,7      ,1
 012150 ,2      ,1
 012150 ,8      ,1
 012200 ,3      ,1
 012200 ,6      ,1
 012250 ,4      ,1
 012300 ,5      ,1
 012300 ,6      ,0
 012300 ,7      ,0
 012550 ,6      ,1
 012550 ,7      ,1
 013350 ,1      ,0
 013350 ,2      ,0
 013350 ,3      ,0
 013350 ,4      ,0
 013350 ,5      ,0
 013350 ,6      ,0
 013350 ,7      ,0
 013350 ,8      ,0
 013500 ,6      ,1
 013700 ,6      ,0
 013700 ,7      ,1
 013950 ,7      ,0
 013950 ,8      ,1
 014150 ,6      ,1
 014150 ,8      ,0
 014350 ,6      ,0
 014350 ,7      ,1
 014550 ,7      ,0
 014550 ,8      ,1
 014700 ,6      ,1
 014700 ,8      ,0
 015000 ,1      ,1
 015000 ,6      ,0
 015050 ,2      ,1
 015100 ,3      ,1
 015150 ,4      ,1
 015200 ,5      ,1
 015650 ,1      ,0
 015650 ,2      ,0
 015650 ,3      ,0
 015650 ,4      ,0
 015650 ,5      ,0
 015750 ,1      ,1
 015750 ,2      ,1
 015750 ,3      ,1
 015750 ,4      ,1
 015750 ,5      ,1
 016150 ,1      ,0
 016150 ,2      ,0
 016150 ,3      ,0
 016150 ,4      ,0
 016150 ,5      ,0
 016300 ,2      ,1
 016300 ,4      ,1
 016450 ,2      ,0
 016450 ,3      ,1
 016450 ,4      ,0
 016450 ,5      ,1
 016550 ,1      ,1
 016550 ,5      ,0
 016900 ,1      ,0
 016900 ,3      ,0
 016950 ,2      ,1
 016950 ,3      ,1
 016950 ,4      ,1
 017250 ,2      ,0
 017250 ,3      ,0
 017250 ,4      ,0
 017350 ,6      ,1
 017350 ,7      ,1
 017350 ,8      ,1
 017950 ,6      ,0
 017950 ,7      ,0
 017950 ,8      ,0
 018150 ,6      ,1
 018550 ,2      ,1
 018550 ,4      ,1
 018750 ,1      ,1
 018750 ,2      ,0
 018750 ,3      ,1
 018750 ,4      ,0
 019000 ,1      ,0
 019000 ,2      ,1
 019000 ,3      ,0
 019000 ,4      ,1
 019000 ,6      ,0
 019000 ,7      ,1
 019000 ,8      ,1
 019400 ,2      ,0
 019400 ,3      ,1
 019400 ,4      ,0
 019400 ,5      ,1
 019600 ,5      ,0
 019650 ,2      ,1
 019650 ,4      ,1
 019700 ,1      ,1
 019700 ,5      ,1
 019800 ,6      ,1
 019800 ,7      ,0
 019800 ,8      ,0
 020650 ,1      ,0
 020650 ,2      ,0
 020650 ,3      ,0
 020650 ,4      ,0
 020650 ,5      ,0
 020650 ,6      ,0
 021400 ,7      ,1
 021700 ,2      ,1
 021700 ,4      ,1
 022200 ,1      ,1
 022200 ,2      ,0
 022200 ,3      ,1
 022200 ,4      ,0
 022200 ,6      ,1
 022200 ,7      ,0
 022800 ,1      ,0
 022800 ,5      ,1
 022800 ,7      ,1
 023000 ,2      ,1
 023000 ,3      ,0
 023000 ,4      ,1
 023000 ,5      ,0
 023000 ,7      ,0
 023000 ,8      ,1
 023200 ,1      ,1
 023200 ,2      ,0
 023200 ,3      ,1
 023200 ,4      ,0
 023850 ,1      ,0
 023850 ,3      ,0
 024200 ,1      ,1
 024200 ,2      ,1
 024200 ,3      ,1
 024200 ,4      ,1
 024200 ,5      ,1
 024550 ,6      ,0
 024550 ,8      ,0
 024600 ,5      ,0
 024650 ,4      ,0
 024700 ,3      ,0
 024700 ,5      ,1
 024750 ,2      ,0
 024750 ,4      ,1
 024800 ,1      ,0
 024800 ,3      ,1
 024850 ,2      ,1
 024900 ,1      ,1
 025550 ,3      ,0
 026100 ,2      ,0
 026100 ,4      ,0
 026600 ,1      ,0
 026600 ,5      ,0
 027850 ,3      ,1
 027900 ,2      ,1
 027900 ,4      ,1
 027950 ,1      ,1
 027950 ,2      ,0
 027950 ,4      ,0
 027950 ,5      ,1
 028600 ,7      ,1
 029450 ,1      ,0
 029450 ,2      ,1
 029450 ,3      ,0
 029450 ,4      ,1
 029450 ,5      ,0
 030250 ,1      ,1
 030250 ,2      ,0
 030250 ,3      ,1
 030250 ,4      ,0
 030250 ,5      ,1
 030450 ,6      ,1
 030450 ,7      ,0
 031850 ,6      ,0
 031850 ,7      ,1
 032650 ,1      ,0
 032650 ,2      ,1
 032650 ,3      ,0
 032650 ,4      ,1
 032650 ,5      ,0
 033450 ,1      ,1
 033450 ,2      ,0
 033450 ,3      ,1
 033450 ,4      ,0
 033450 ,5      ,1
 033700 ,7      ,0
 033700 ,8      ,1
 034300 ,1      ,0
 034300 ,3      ,0
 034300 ,5      ,0
 034350 ,5      ,1
 034400 ,3      ,1
 034450 ,1      ,1
 034650 ,7      ,1
 034650 ,8      ,0
 035900 ,1      ,0
 035900 ,2      ,1
 035900 ,3      ,0
 035900 ,4      ,1
 035900 ,5      ,0
 036900 ,6      ,1
 036900 ,7      ,0
 037500 ,1      ,1
 037500 ,2      ,0
 037500 ,3      ,1
 037500 ,4      ,0
 037500 ,5      ,1
 038300 ,6      ,0
 038850 ,1      ,0
 038850 ,3      ,0
 038850 ,5      ,0
 039300 ,5      ,1
 039500 ,3      ,1
 039500 ,5      ,0
 039700 ,1      ,1
 039700 ,3      ,0
 039900 ,1      ,0
 039900 ,2      ,1
 040100 ,2      ,0
 040100 ,4      ,1
 040300 ,3      ,1
 040300 ,4      ,0
 040550 ,1      ,1
 040550 ,3      ,0
 040750 ,1      ,0
 040750 ,3      ,1
 040800 ,2      ,1
 040800 ,4      ,1
 040850 ,1      ,1
 040850 ,2      ,0
 040850 ,4      ,0
 040850 ,5      ,1
 041500 ,7      ,1
 042350 ,1      ,0
 042350 ,2      ,1
 042350 ,3      ,0
 042350 ,4      ,1
 042350 ,5      ,0
 043150 ,1      ,1
