TIME(MS),COMMAND,VALUE
 007000 ,1      ,1
 009700 ,1      ,0
 009700 ,2      ,1
 012700 ,2      ,0
 012700 ,3      ,1
 015650 ,3      ,0
 015650 ,4      ,1
 018550 ,4      ,0
 018550 ,5      ,1
 021450 ,4      ,1
 021450 ,5      ,0
 024450 ,3      ,1
 024450 ,4      ,0
 027550 ,2      ,1
 027550 ,3      ,0
 030350 ,2      ,0
 032800 ,6      ,1
 033950 ,1      ,1
 034800 ,1      ,0
 034800 ,4      ,1
 035750 ,2      ,1
 035750 ,4      ,0
 036900 ,2      ,0
 036900 ,3      ,1
 037750 ,3      ,0
 037750 ,5      ,1
 038750 ,1      ,1
 038750 ,5      ,0
 039750 ,1      ,0
 040550 ,6      ,0
 040550 ,7      ,1
 041700 ,2      ,1
 041700 ,4      ,1
 042500 ,1      ,1
 042500 ,2      ,0
 042500 ,3      ,1
 042500 ,4      ,0
 043500 ,1      ,0
 043500 ,2      ,1
 043500 ,3      ,0
 043500 ,5      ,1
 044200 ,2      ,0
 044200 ,5      ,0
 044400 ,7      ,0
 044400 ,8      ,1
 044950 ,3      ,1
 044950 ,5      ,1
 045550 ,2      ,1
 045550 ,3      ,0
 045550 ,4      ,1
 045550 ,5      ,0
 046400 ,1      ,1
 046400 ,2      ,0
 046400 ,3      ,1
 046400 ,4      ,0
 047350 ,1      ,0
 047350 ,3      ,0
 047350 ,8      ,0
 048000 ,1      ,1
 048000 ,2      ,1
 048000 ,3      ,1
 048000 ,4      ,1
 048000 ,5      ,1
 048300 ,1      ,0
 048300 ,2      ,0
 048300 ,3      ,0
 048300 ,4      ,0
 048300 ,5      ,0
 048300 ,6      ,1
 049000 ,1      ,1
 049000 ,2      ,1
 049000 ,3      ,1
 049000 ,4      ,1
 049000 ,5      ,1
 049300 ,1      ,0
 049300 ,2      ,0
 049300 ,3      ,0
 049300 ,4      ,0
 049300 ,5      ,0
 049300 ,6      ,0
 049300 ,8      ,1
 050250 ,1      ,1
 050250 ,5      ,1
 051250 ,2      ,1
 051250 ,3      ,1
 051250 ,4      ,1
 052250 ,1      ,0
 052250 ,2      ,0
 052250 ,3      ,0
 052250 ,4      ,0
 052250 ,5      ,0
 052250 ,6      ,1
 052250 ,8      ,0
 055250 ,6      ,0
 056100 ,7      ,1
 056100 ,8      ,1
 057100 ,6      ,1
 057100 ,8      ,0
 058150 ,7      ,0
 058150 ,8      ,1
 059150 ,6      ,0
 059150 ,7      ,1
 060150 ,6      ,1
 060150 ,8      ,0
 061000 ,7      ,0
 061000 ,8      ,1
 062050 ,6      ,0
 062050 ,7      ,1
 063050 ,6      ,1
 063050 ,8      ,0
 063900 ,7      ,0
 064250 ,1      ,1
 064350 ,2      ,1
 064550 ,3      ,1
 064750 ,4      ,1
 064950 ,5      ,1
 065250 ,1      ,0
 065250 ,2      ,0
 065250 ,3      ,0
 065250 ,4      ,0
 065450 ,4      ,1
 065600 ,3      ,1
 065750 ,2      ,1
 065950 ,1      ,1
 066200 ,2      ,0
 066200 ,3      ,0
 066200 ,4      ,0
 066200 ,5      ,0
 066550 ,5      ,1
 066650 ,2      ,1
 066800 ,4      ,1
 067000 ,3      ,1
 067200 ,2      ,0
 067200 ,4      ,0
 067500 ,1      ,0
 067500 ,2      ,1
 067500 ,3      ,0
 067500 ,4      ,1
 067500 ,5      ,0
 067650 ,1      ,1
 067650 ,2      ,0
 067650 ,3      ,1
 067650 ,4      ,0
 067650 ,5      ,1
 067850 ,6      ,0
 067850 ,7      ,1
 068250 ,1      ,0
 068250 ,3      ,0
 068250 ,5      ,0
 068250 ,7      ,0
 068250 ,8      ,1
 070050 ,1      ,1
 070050 ,7      ,1
 070050 ,8      ,0
 072000 ,5      ,1
 072000 ,6      ,1
 072000 ,7      ,0
 072950 ,2      ,1
 072950 ,6      ,0
 072950 ,8      ,1
 073950 ,4      ,1
 073950 ,7      ,1
 073950 ,8      ,0
 074850 ,3      ,1
 074850 ,6      ,1
 074850 ,7      ,0
 075800 ,5      ,0
 075850 ,4      ,0
 075900 ,3      ,0
 075950 ,2      ,0
 076050 ,1      ,0
 076050 ,6      ,0
 078850 ,3      ,1
 080850 ,2      ,1
 080850 ,4      ,1
 082300 ,1      ,1
 082300 ,5      ,1
 082850 ,1      ,0
 082850 ,2      ,0
 082850 ,3      ,0
 082850 ,4      ,0
 082850 ,5      ,0
 082850 ,8      ,1
 083150 ,7      ,1
 083150 ,8      ,0
 083700 ,3      ,1
 084700 ,2      ,1
 084700 ,4      ,1
 085700 ,1      ,1
 085700 ,5      ,1
 086600 ,1      ,0
 086600 ,2      ,0
 086600 ,3      ,0
 086600 ,4      ,0
 086600 ,5      ,0
 086600 ,6      ,1
 086600 ,7      ,0
 086950 ,1      ,1
 086950 ,3      ,1
 086950 ,5      ,1
 088000 ,1      ,0
 088000 ,3      ,0
 088000 ,5      ,0
 088000 ,6      ,0
 088000 ,8      ,1
 089000 ,6      ,1
 089000 ,8      ,0
 089600 ,2      ,1
 089600 ,4      ,1
 090150 ,6      ,0
 090150 ,7      ,1
 090850 ,1      ,1
 090850 ,3      ,1
 090850 ,5      ,1
 091950 ,2      ,0
 092950 ,5      ,0
 093900 ,3      ,0
 094900 ,1      ,0
 095850 ,4      ,0
 096850 ,7      ,0
 118750 ,6      ,1
 119250 ,6      ,0
 119700 ,7      ,1
 120000 ,7      ,0
 120750 ,8      ,1
 121000 ,4      ,1
 121400 ,2      ,1
 121400 ,4      ,0
 121650 ,2      ,0
 121650 ,8      ,0
 122600 ,6      ,1
 123200 ,6      ,0
 123550 ,7      ,1
 124150 ,7      ,0
 124500 ,8      ,1
 124800 ,4      ,1
 125200 ,2      ,1
 125200 ,4      ,0
 125400 ,2      ,0
 125450 ,8      ,0
 125650 ,1      ,1
 125650 ,3      ,1
 125650 ,5      ,1
 126600 ,1      ,0
 126600 ,2      ,1
 126600 ,3      ,0
 126600 ,4      ,1
 126600 ,5      ,0
 127600 ,1      ,1
 127600 ,2      ,0
 127600 ,3      ,1
 127600 ,4      ,0
 127600 ,5      ,1
 128550 ,1      ,0
 128550 ,2      ,1
 128550 ,3      ,0
 128550 ,4      ,1
 128550 ,5      ,0
 129500 ,1      ,1
 129500 ,2      ,0
 129500 ,3      ,1
 129500 ,4      ,0
 129500 ,5      ,1
 129500 ,8      ,1
 130450 ,1      ,0
 130450 ,2      ,1
 130450 ,3      ,0
 130450 ,4      ,1
 130450 ,5      ,0
 131550 ,1      ,1
 131550 ,2      ,0
 131550 ,3      ,1
 131550 ,4      ,0
 131550 ,5      ,1
 132400 ,1      ,0
 132400 ,2      ,1
 132400 ,3      ,0
 132400 ,4      ,1
 132400 ,5      ,0
 133150 ,2      ,0
 133150 ,4      ,0
 133150 ,8      ,0
 133300 ,3      ,1
 133600 ,2      ,1
 133600 ,4      ,1
 133850 ,1      ,1
 133850 ,5      ,1
 134150 ,6      ,1
 134250 ,3      ,0
 134550 ,2      ,0
 134550 ,4      ,0
 134900 ,1      ,0
 134900 ,5      ,0
 135250 ,6      ,0
 135250 ,7      ,1
 135300 ,3      ,1
 135550 ,2      ,1
 135550 ,4      ,1
 135900 ,1      ,1
 135900 ,5      ,1
 136150 ,3      ,0
 136150 ,7      ,0
 136150 ,8      ,1
 136500 ,2      ,0
 136500 ,4      ,0
 136850 ,1      ,0
 136850 ,5      ,0
 137150 ,3      ,1
 137150 ,6      ,1
 137150 ,8      ,0
 137500 ,2      ,1
 137500 ,4      ,1
 137800 ,1      ,1
 137800 ,5      ,1
 138050 ,3      ,0
 138050 ,6      ,0
 138050 ,7      ,1
 138400 ,2      ,0
 138400 ,4      ,0
 138700 ,1      ,0
 138700 ,5      ,0
 139000 ,3      ,1
 139000 ,7      ,0
 139000 ,8      ,1
 139350 ,2      ,1
 139350 ,4      ,1
 139600 ,1      ,1
 139600 ,5      ,1
 140000 ,3      ,0
 140000 ,6      ,1
 140000 ,8      ,0
 140350 ,2      ,0
 140350 ,4      ,0
 140600 ,1      ,0
 140700 ,5      ,0
 141000 ,6      ,0
 141050 ,5      ,1
 141250 ,4      ,1
 141450 ,3      ,1
 141650 ,2      ,1
 141850 ,1      ,1
 142000 ,1      ,0
 142000 ,2      ,0
 142000 ,3      ,0
 142000 ,4      ,0
 142000 ,5      ,0
 142200 ,1      ,1
 142400 ,2      ,1
 142600 ,3      ,1
 142800 ,4      ,1
 143000 ,5      ,1
 143000 ,6      ,1
 144150 ,8      ,1
 144700 ,1      ,0
 144700 ,2      ,0
 144700 ,3      ,0
 144700 ,4      ,0
 144700 ,5      ,0
 144700 ,6      ,0
 144700 ,8      ,0
 144850 ,5      ,1
 145050 ,4      ,1
 145050 ,5      ,0
 145200 ,3      ,1
 145200 ,4      ,0
 145350 ,2      ,1
 145350 ,3      ,0
 145550 ,1      ,1
 145550 ,2      ,0
 145700 ,1      ,0
 145700 ,2      ,1
 145850 ,2      ,0
 145850 ,3      ,1
 146050 ,3      ,0
 146050 ,4      ,1
 146200 ,4      ,0
 146200 ,5      ,1
 146400 ,5      ,0
 146400 ,7      ,1
 146700 ,5      ,1
 146850 ,4      ,1
 146850 ,5      ,0
 147050 ,3      ,1
 147050 ,4      ,0
 147200 ,2      ,1
 147200 ,3      ,0
 147350 ,1      ,1
 147350 ,2      ,0
 147550 ,1      ,0
 147550 ,2      ,1
 147700 ,2      ,0
 147700 ,3      ,1
 147900 ,3      ,0
 147900 ,4      ,1
 148050 ,4      ,0
 148050 ,5      ,1
 148200 ,5      ,0
 148200 ,8      ,1
 148600 ,7      ,0
 148600 ,8      ,0
 148800 ,3      ,1
 148950 ,3      ,0
 149100 ,3      ,1
 149250 ,3      ,0
 149450 ,3      ,1
 149600 ,3      ,0
 149700 ,7      ,1
 150000 ,6      ,1
 150300 ,8      ,1
 150500 ,3      ,1
 150750 ,3      ,0
 150950 ,3      ,1
 150950 ,6      ,0
 150950 ,7      ,0
 150950 ,8      ,0
 151200 ,3      ,0
 151400 ,3      ,1
 151650 ,3      ,0
 151650 ,8      ,1
 152600 ,6      ,1
 152600 ,8      ,0
 153550 ,6      ,0
 153550 ,7      ,1
 154550 ,7      ,0
 154550 ,8      ,1
 155600 ,8      ,0
 156500 ,2      ,1
 156750 ,4      ,1
