TIME(MS),COMMAND,VALUE
 001050 ,3      ,1
 001800 ,3      ,0
 002100 ,1      ,1
 002850 ,1      ,0
 003150 ,1      ,1
 003900 ,1      ,0
 004200 ,3      ,1
 004550 ,3      ,0
 004700 ,5      ,1
 005100 ,5      ,0
 005250 ,4      ,1
 006000 ,4      ,0
 006300 ,4      ,1
 006300 ,5      ,1
 006800 ,1      ,1
 006800 ,2      ,1
 007350 ,1      ,0
 007350 ,2      ,0
 007350 ,3      ,1
 007350 ,4      ,0
 007350 ,5      ,0
 007400 ,2      ,1
 007400 ,4      ,1
 007450 ,1      ,1
 007450 ,3      ,0
 007450 ,5      ,1
 007500 ,2      ,0
 007500 ,4      ,0
 007550 ,2      ,1
 007550 ,3      ,1
 007550 ,4      ,1
 008800 ,1      ,0
 008800 ,2      ,0
 008800 ,3      ,0
 008800 ,4      ,0
 008800 ,5      ,0
 009450 ,3      ,1
 010200 ,3      ,0
 010500 ,1      ,1
 011250 ,1      ,0
 011550 ,1      ,1
 012300 ,1      ,0
 012600 ,3      ,1
 012950 ,3      ,0
 013100 ,5      ,1
 013500 ,5      ,0
 013650 ,4      ,1
 014400 ,4      ,0
 014700 ,1      ,1
 014700 ,2      ,1
 015200 ,1      ,0
 015200 ,2      ,0
 015200 ,3      ,1
 015800 ,1      ,1
 015800 ,3      ,0
 015800 ,7      ,1
 015850 ,2      ,1
 015900 ,3      ,1
 015950 ,4      ,1
 016000 ,5      ,1
 016000 ,7      ,0
 016000 ,8      ,1
 016250 ,7      ,1
 016250 ,8      ,0
 016550 ,6      ,1
 016550 ,7      ,0
 016800 ,6      ,0
 016800 ,8      ,1
 017050 ,7      ,1
 017050 ,8      ,0
 017200 ,1      ,0
 017200 ,2      ,0
 017200 ,3      ,0
 017200 ,4      ,0
 017200 ,5      ,0
 017300 ,7      ,0
 017300 ,8      ,1
 017600 ,6      ,1
 017600 ,8      ,0
 017850 ,6      ,0
 017850 ,7      ,1
 018100 ,7      ,0
 018100 ,8      ,1
 018350 ,7      ,1
 018350 ,8      ,0
 018650 ,6      ,1
 018650 ,7      ,0
 018900 ,6      ,0
 018900 ,8      ,1
 019150 ,6      ,1
 019150 ,8      ,0
 019200 ,7      ,1
 019250 ,6      ,0
 019250 ,8      ,1
