TIME(MS),COMMAND,VALUE
 000000 ,3      ,1
 000000 ,6      ,1
 000000 ,7      ,1
 000000 ,8      ,1
 000200 ,2      ,1
 000200 ,3      ,0
 000200 ,4      ,1
 000400 ,1      ,1
 000400 ,2      ,0
 000400 ,4      ,0
 000400 ,5      ,1
 000600 ,1      ,0
 000600 ,2      ,1
 000600 ,4      ,1
 000600 ,5      ,0
 000800 ,2      ,0
 000800 ,3      ,1
 000800 ,4      ,0
 001000 ,3      ,0
 001100 ,3      ,1
 001500 ,2      ,1
 001500 ,3      ,0
 001500 ,4      ,1
 001900 ,1      ,1
 001900 ,2      ,0
 001900 ,4      ,0
 001900 ,5      ,1
 002300 ,1      ,0
 002300 ,2      ,1
 002300 ,4      ,1
 002300 ,5      ,0
 002700 ,2      ,0
 002700 ,3      ,1
 002700 ,4      ,0
 003100 ,3      ,0
 003200 ,3      ,1
 003600 ,2      ,1
 003600 ,4      ,1
 004000 ,1      ,1
 004000 ,5      ,1
 004400 ,1      ,0
 004400 ,5      ,0
 004800 ,2      ,0
 004800 ,4      ,0
 005200 ,3      ,0
 005250 ,1      ,1
 005250 ,3      ,1
 005250 ,5      ,1
 007650 ,7      ,0
 007650 ,8      ,0
 008300 ,1      ,0
 008300 ,2      ,1
 008300 ,3      ,0
 008300 ,4      ,1
 008300 ,5      ,0
 011350 ,1      ,1
 011350 ,2      ,0
 011350 ,3      ,1
 011350 ,4      ,0
 011350 ,5      ,1
 012150 ,7      ,1
 013350 ,6      ,0
 014400 ,1      ,0
 014400 ,2      ,1
 014400 ,3      ,0
 014400 ,4      ,1
 014400 ,5      ,0
 015900 ,8      ,1
 016750 ,7      ,0
 017450 ,1      ,1
 017450 ,2      ,0
 017450 ,3      ,1
 017450 ,4      ,0
 017450 ,5      ,1
 017450 ,6      ,1
 020500 ,1      ,0
 020500 ,2      ,1
 020500 ,3      ,0
 020500 ,4      ,1
 020500 ,5      ,0
 021750 ,7      ,1
 022950 ,8      ,0
 023550 ,1      ,1
 023550 ,2      ,0
 023550 ,3      ,1
 023550 ,4      ,0
 023550 ,5      ,1
 025550 ,6      ,0
 026600 ,1      ,0
 026600 ,2      ,1
 026600 ,3      ,0
 026600 ,4      ,1
 026600 ,5      ,0
 027550 ,7      ,0
 028050 ,7      ,1
 029650 ,1      ,1
 029650 ,2      ,0
 029650 ,3      ,1
 029650 ,4      ,0
 029650 ,5      ,1
 029650 ,6      ,1
 032700 ,1      ,0
 032700 ,2      ,1
 032700 ,3      ,0
 032700 ,4      ,1
 032700 ,5      ,0
 035750 ,1      ,1
 035750 ,2      ,0
 035750 ,3      ,1
