TIME(MS),COMMAND,VALUE
 000550 ,3      ,1
 000750 ,2      ,1
 000750 ,3      ,0
 000900 ,2      ,0
 000900 ,3      ,1
 001050 ,1      ,1
 001050 ,3      ,0
 001150 ,1      ,0
 001150 ,3      ,1
 001200 ,2      ,1
 001200 ,3      ,0
 001350 ,2      ,0
 001350 ,3      ,1
 001450 ,3      ,0
 001450 ,4      ,1
 001600 ,3      ,1
 001600 ,4      ,0
 001700 ,2      ,1
 001700 ,3      ,0
 001850 ,2      ,0
 001850 ,3      ,1
 001950 ,1      ,1
 001950 ,3      ,0
 002150 ,1      ,0
 002150 ,5      ,1
 002250 ,4      ,1
 002250 ,5      ,0
 003250 ,3      ,1
 003250 ,4      ,0
 003500 ,3      ,0
 003500 ,4      ,1
 004100 ,4      ,0
 004100 ,5      ,1
 004250 ,4      ,1
 004250 ,5      ,0
 004350 ,3      ,1
 004350 ,4      ,0
 004450 ,3      ,0
 004450 ,4      ,1
 004550 ,3      ,1
 004550 ,4      ,0
 004650 ,1      ,1
 004650 ,3      ,0
 004750 ,1      ,0
 004750 ,2      ,1
 004850 ,2      ,0
 004850 ,3      ,1
 004950 ,3      ,0
 004950 ,4      ,1
 005050 ,2      ,1
 005050 ,4      ,0
 005150 ,2      ,0
 005150 ,3      ,1
 005250 ,1      ,1
 005250 ,3      ,0
 005400 ,1      ,0
 005400 ,3      ,1
 005500 ,3      ,0
 005500 ,4      ,1
 006100 ,3      ,1
 006100 ,4      ,0
 006250 ,2      ,1
 006250 ,3      ,0
 006350 ,2      ,0
 006350 ,3      ,1
 006600 ,3      ,0
 006600 ,4      ,1
 007850 ,4      ,0
 007850 ,5      ,1
 007950 ,3      ,1
 007950 ,5      ,0
 008050 ,3      ,0
 008050 ,4      ,1
 008200 ,1      ,1
 008200 ,4      ,0
 008400 ,1      ,0
 008400 ,3      ,1
 008500 ,3      ,0
 008500 ,4      ,1
 009900 ,3      ,1
 009900 ,4      ,0
 009950 ,3      ,0
 009950 ,4      ,1
 010100 ,2      ,1
 010100 ,4      ,0
 010250 ,2      ,0
 010250 ,4      ,1
 010350 ,3      ,1
 010350 ,4      ,0
 010550 ,3      ,0
 010550 ,4      ,1
 010650 ,3      ,1
 010650 ,4      ,0
 010700 ,2      ,1
 010700 ,3      ,0
 010850 ,2      ,0
 010850 ,4      ,1
 011400 ,2      ,1
 011400 ,4      ,0
 011550 ,2      ,0
 011550 ,4      ,1
 011700 ,2      ,1
 011700 ,4      ,0
 012150 ,1      ,1
 012150 ,2      ,0
 012300 ,1      ,0
 012300 ,4      ,1
 012450 ,3      ,1
 012450 ,4      ,0
 012850 ,2      ,1
 012850 ,3      ,0
 013150 ,2      ,0
 013150 ,5      ,1
 013300 ,1      ,1
 013300 ,5      ,0
 013450 ,1      ,0
 013450 ,2      ,1
 013750 ,1      ,1
 013750 ,2      ,0
 013850 ,1      ,0
 013850 ,3      ,1
 014000 ,1      ,1
 014000 ,3      ,0
 014150 ,1      ,0
 014150 ,4      ,1
 014300 ,2      ,1
 014300 ,4      ,0
 014450 ,2      ,0
 014450 ,3      ,1
 014450 ,6      ,1
 014650 ,2      ,1
 014650 ,3      ,0
 014650 ,6      ,0
 014750 ,7      ,1
 014800 ,2      ,0
 014800 ,3      ,1
 014950 ,7      ,0
 015000 ,8      ,1
 015050 ,3      ,0
 015050 ,5      ,1
 015200 ,3      ,1
 015200 ,5      ,0
 015200 ,8      ,0
 015300 ,4      ,1
 015300 ,5      ,1
 015300 ,8      ,1
 015350 ,1      ,1
 015350 ,2      ,1
 015350 ,7      ,1
 015400 ,6      ,1
 015600 ,1      ,0
 015600 ,3      ,0
 015600 ,5      ,0
 015750 ,1      ,1
 015750 ,2      ,0
 015750 ,3      ,1
 015750 ,4      ,0
 015750 ,5      ,1
 015750 ,6      ,0
 015950 ,1      ,0
 015950 ,2      ,1
 015950 ,3      ,0
 015950 ,4      ,1
 015950 ,5      ,0
 015950 ,7      ,0
 016100 ,8      ,0
 016200 ,1      ,1
 016200 ,2      ,0
 016200 ,3      ,1
 016200 ,4      ,0
 016200 ,5      ,1
 016200 ,8      ,1
 016250 ,7      ,1
 016300 ,6      ,1
 016800 ,6      ,0
 016800 ,8      ,0
 017050 ,6      ,1
 017050 ,7      ,0
 017350 ,6      ,0
 017350 ,8      ,1
 017500 ,7      ,1
 017500 ,8      ,0
 017650 ,6      ,1
 017650 ,7      ,0
 017750 ,6      ,0
 017750 ,8      ,1
 017900 ,2      ,1
 017900 ,4      ,1
 017900 ,6      ,1
 017900 ,7      ,1
 017900 ,8      ,0
 018100 ,1      ,0
 018100 ,2      ,0
 018100 ,3      ,0
 018100 ,4      ,0
 018100 ,5      ,0
 018100 ,6      ,0
 018100 ,7      ,0
 018200 ,2      ,1
 018200 ,3      ,1
 018200 ,4      ,1
 018200 ,7      ,1
 018200 ,8      ,1
 018400 ,2      ,0
 018400 ,3      ,0
 018400 ,4      ,0
 018400 ,7      ,0
 018400 ,8      ,0
 018500 ,3      ,1
 018500 ,6      ,1
 018500 ,8      ,1
 018700 ,3      ,0
 018700 ,6      ,0
 018700 ,8      ,0
 018800 ,2      ,1
 018800 ,4      ,1
 018800 ,7      ,1
 019100 ,7      ,0
 019100 ,8      ,1
 019250 ,6      ,1
 019350 ,6      ,0
 019350 ,8      ,0
 019500 ,1      ,1
 019500 ,2      ,0
 019500 ,4      ,0
 019550 ,2      ,1
 019600 ,3      ,1
 019600 ,8      ,1
 019650 ,4      ,1
 019650 ,7      ,1
 019700 ,5      ,1
 019700 ,6      ,1
 019750 ,8      ,0
 020100 ,6      ,0
 020100 ,7      ,0
 020150 ,1      ,0
 020150 ,6      ,1
 020200 ,6      ,0
 020250 ,2      ,0
 020250 ,7      ,1
 020350 ,7      ,0
 020400 ,3      ,0
 020400 ,8      ,1
 020500 ,8      ,0
 020550 ,1      ,1
 020550 ,3      ,1
 020550 ,4      ,0
 020550 ,6      ,1
 020550 ,7      ,1
 020550 ,8      ,1
 020750 ,6      ,0
 020750 ,7      ,0
 020750 ,8      ,0
 020800 ,7      ,1
 020950 ,7      ,0
 021000 ,2      ,1
 021000 ,4      ,1
 021000 ,6      ,1
 021100 ,6      ,0
 021100 ,7      ,1
 021150 ,2      ,0
 021150 ,4      ,0
 021150 ,7      ,0
 021150 ,8      ,1
 021300 ,1      ,0
 021300 ,3      ,0
 021300 ,5      ,0
 021300 ,8      ,0
 021400 ,1      ,1
 021400 ,2      ,1
 021400 ,3      ,1
 021400 ,4      ,1
 021400 ,5      ,1
 021600 ,1      ,0
 021600 ,2      ,0
 021600 ,3      ,0
 021600 ,4      ,0
 021600 ,5      ,0
 021650 ,6      ,1
 021650 ,7      ,1
 021650 ,8      ,1
 021800 ,6      ,0
 021800 ,7      ,0
 021800 ,8      ,0
 021950 ,1      ,1
 021950 ,2      ,1
 021950 ,3      ,1
 021950 ,4      ,1
 021950 ,5      ,1
 021950 ,6      ,1
 021950 ,7      ,1
 021950 ,8      ,1
 022200 ,1      ,0
 022200 ,2      ,0
 022200 ,3      ,0
 022200 ,4      ,0
 022200 ,5      ,0
 022200 ,6      ,0
 022200 ,7      ,0
 022200 ,8      ,0
 022300 ,5      ,1
 022300 ,8      ,1
 022350 ,4      ,1
 022350 ,7      ,1
 022400 ,3      ,1
 022400 ,6      ,1
 022450 ,2      ,1
 022500 ,1      ,1
 022550 ,6      ,0
 022850 ,7      ,0
 023150 ,2      ,0
 023150 ,3      ,0
 023150 ,4      ,0
 023150 ,6      ,1
 023150 ,8      ,0
 023450 ,6      ,0
 023450 ,7      ,1
 023600 ,7      ,0
 023600 ,8      ,1
 023750 ,7      ,1
 023750 ,8      ,0
 024000 ,1      ,0
 024000 ,2      ,1
 024000 ,3      ,1
 024000 ,4      ,1
 024000 ,5      ,0
 024000 ,6      ,1
 024000 ,7      ,0
 024350 ,6      ,0
 024350 ,7      ,1
 024500 ,7      ,0
 024500 ,8      ,1
 024550 ,7      ,1
 024600 ,6      ,1
 024650 ,7      ,0
 024650 ,8      ,0
 024900 ,1      ,1
 024900 ,4      ,0
 024900 ,6      ,0
 024900 ,7      ,1
 025100 ,7      ,0
 025200 ,1      ,0
 025200 ,2      ,0
 025200 ,4      ,1
 025200 ,6      ,1
 025300 ,6      ,0
 025400 ,3      ,0
 025400 ,5      ,1
 025400 ,8      ,1
 025550 ,8      ,0
 025650 ,3      ,1
 025650 ,4      ,0
 025750 ,7      ,1
 026050 ,6      ,1
 026050 ,7      ,0
 026200 ,6      ,0
 026200 ,7      ,1
 026300 ,7      ,0
 026300 ,8      ,1
 026500 ,2      ,1
 026500 ,3      ,0
 026500 ,4      ,1
 026500 ,5      ,0
 026600 ,6      ,1
 026600 ,7      ,1
 026600 ,8      ,0
 027050 ,6      ,0
 027050 ,7      ,0
 027050 ,8      ,1
 027200 ,6      ,1
 027200 ,8      ,0
 027350 ,8      ,1
 027500 ,2      ,0
 027500 ,3      ,1
 027500 ,4      ,0
 027500 ,6      ,0
 027500 ,7      ,1
 027500 ,8      ,0
 027750 ,7      ,0
 027750 ,8      ,1
 028100 ,3      ,0
 028200 ,7      ,1
 028350 ,2      ,1
 028350 ,4      ,1
 028350 ,6      ,1
 028350 ,7      ,0
 028350 ,8      ,0
 028500 ,2      ,0
 028500 ,4      ,0
 028600 ,2      ,1
 028600 ,4      ,1
 028600 ,7      ,1
 028800 ,2      ,0
 028800 ,4      ,0
 028900 ,2      ,1
 028900 ,4      ,1
 028900 ,8      ,1
 029100 ,2      ,0
 029100 ,4      ,0
 029100 ,6      ,0
 029100 ,7      ,0
 029100 ,8      ,0
 029200 ,2      ,1
 029200 ,4      ,1
 029200 ,6      ,1
 029400 ,2      ,0
 029400 ,4      ,0
 029400 ,6      ,0
 029500 ,2      ,1
 029500 ,3      ,1
 029500 ,4      ,1
 029500 ,7      ,1
 029650 ,6      ,1
 029800 ,6      ,0
 029800 ,7      ,0
 029800 ,8      ,1
 030000 ,8      ,0
 030100 ,6      ,1
 030100 ,8      ,1
 030350 ,6      ,0
 030350 ,7      ,1
 030350 ,8      ,0
 030550 ,7      ,0
 030550 ,8      ,1
 030700 ,6      ,1
 030750 ,6      ,0
 030750 ,8      ,0
 030850 ,7      ,1
 030850 ,8      ,1
 030900 ,2      ,0
 030900 ,3      ,0
 030900 ,4      ,0
 031000 ,2      ,1
 031000 ,3      ,1
 031000 ,4      ,1
 031100 ,7      ,0
 031100 ,8      ,0
 031250 ,6      ,1
 031400 ,6      ,0
 031400 ,7      ,1
 031550 ,7      ,0
 031550 ,8      ,1
 031750 ,8      ,0
 031850 ,1      ,1
 031850 ,4      ,0
 031850 ,6      ,1
 031850 ,7      ,1
 031850 ,8      ,1
 032050 ,6      ,0
 032050 ,7      ,0
 032050 ,8      ,0
 032150 ,6      ,1
 032150 ,7      ,1
 032450 ,2      ,0
 032450 ,3      ,0
 032450 ,6      ,0
 032500 ,2      ,1
 032550 ,3      ,1
 032600 ,4      ,1
 032650 ,5      ,1
 032700 ,6      ,1
 032700 ,7      ,0
 032700 ,8      ,1
 033000 ,6      ,0
 033000 ,7      ,1
 033000 ,8      ,0
 033150 ,6      ,1
 033150 ,7      ,0
 033300 ,6      ,0
 033300 ,8      ,1
 033400 ,1      ,0
 033450 ,2      ,0
 033450 ,6      ,1
 033450 ,8      ,0
 033500 ,3      ,0
 033550 ,4      ,0
 033600 ,5      ,0
 033600 ,6      ,0
 033600 ,8      ,1
 033850 ,7      ,1
 033850 ,8      ,0
 034000 ,6      ,1
 034000 ,7      ,0
 034150 ,6      ,0
 034150 ,7      ,1
 034150 ,8      ,1
 034300 ,7      ,0
 034450 ,6      ,1
 034450 ,7      ,1
 034450 ,8      ,0
 034650 ,6      ,0
 034650 ,7      ,0
 034750 ,7      ,1
 034750 ,8      ,1
 034850 ,6      ,1
 034950 ,6      ,0
 034950 ,7      ,0
 034950 ,8      ,0
 035050 ,6      ,1
 035050 ,7      ,1
 035050 ,8      ,1
 035200 ,1      ,1
 035200 ,5      ,1
 035250 ,6      ,0
 035250 ,7      ,0
 035250 ,8      ,0
 035300 ,6      ,1
 035450 ,6      ,0
 035550 ,2      ,1
 035550 ,4      ,1
 035550 ,7      ,1
 035750 ,7      ,0
